PING 10.79.140.204 (10.79.140.204) 56(84) bytes of data.
64 bytes from 10.79.140.204: icmp_seq=348 ttl=64 time=80.6 ms
64 bytes from 10.79.140.204: icmp_seq=349 ttl=64 time=103 ms
64 bytes from 10.79.140.204: icmp_seq=350 ttl=64 time=49.2 ms
64 bytes from 10.79.140.204: icmp_seq=351 ttl=64 time=47.0 ms
64 bytes from 10.79.140.204: icmp_seq=352 ttl=64 time=68.2 ms
64 bytes from 10.79.140.204: icmp_seq=353 ttl=64 time=92.5 ms
64 bytes from 10.79.140.204: icmp_seq=354 ttl=64 time=113 ms
64 bytes from 10.79.140.204: icmp_seq=355 ttl=64 time=32.9 ms
64 bytes from 10.79.140.204: icmp_seq=356 ttl=64 time=56.2 ms
64 bytes from 10.79.140.204: icmp_seq=357 ttl=64 time=5.27 ms
